パレットNo,セット位置,製品コード,吐出パターン番号,位置番号,傾き,A剤流圧(Mpa),B剤流圧(Mpa),A剤タンク1圧力(Mpa),A剤タンク2圧力(Mpa),B剤タンク1圧力(Mpa),B剤タンク2圧力(Mpa),A剤使用中タンク,B剤使用中タンク,A剤配合比速度(Hz),B剤配合比速度(Hz),生産総合流速(％),生産吐出時間(sec),X座標,Y座標,Z座標,余熱時間,硬化時間,投入開始日時,取出終了日時,余熱開始日時,余熱終了日時,注入開始日時,注入終了日時,硬化開始日時,硬化終了日時,生産日,製品コード(7桁),リレーケース名,注入時間,パレットR/T（分）
50,1番目,FEEJ003434D04A0,1,2,無,0.16,0.16,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,967,1715,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,940.8833333
50,2番目,FEEJ003434D049%,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,445,351.0,290,967,1715,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,940.8833333
16,1番目,FEEJ003434D046$,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,988,1577,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,940.6166667
9,2番目,FEEJ003434E40F6,1,2,無,0.16,0.18,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,445,351.0,290,1093,1182,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.59999999
15,1番目,FEEJ003434E410Z,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,215,351.0,290,1087,1191,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.54999999
9,1番目,FEEJ003434E411-,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,215,351.0,290,1093,1182,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.59999999
15,4番目,EWRJ004434E3E7B,6,35,無,0.15,0.17,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,62.0,5.0,801,366.8,290,1087,1191,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EWRJ004,,11.00000006,39.54999999
15,3番目,EJBJ008434E22C3,7,13,無,0.17,0.18,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.7,600,320.0,290,1087,1191,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EJBJ008,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＢ,15.00000036,39.54999999
15,2番目,EYDJ384434E1963,15,23,無,0.17,0.18,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,8.1,350,336.0,280,1087,1191,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EYDJ384,,13.00000052,39.54999999
4,4番目,EJBJ008434E245+,7,13,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.7,830,320.0,290,1079,1180,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EJBJ008,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＢ,14.99999973,39.51666667
50,3番目,EYDJ023434E3A11,16,11,無,0.15,0.18,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,8.9,631,356.8,290,1085,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EYDJ023,,14.00000013,39.48333333
