Y座標,余熱時間,硬化時間,余熱開始日時,生産日,注入時間,投入開始日時_dayofweek,取出終了日時_dayofweek,生産日_dayofweek,preheat_duration,preheat_duration_negative,curing_duration_ratio,preheat_duration_injection_duration_ratio,preheat_duration_curing_duration_ratio,anomaly_flag_ratio,time_anomaly_score,B剤流圧(Mpa)_scaled,A剤タンク2圧力(Mpa)_scaled,生産吐出時間(sec)_scaled,余熱時間_scaled,生産日_dayofweek_scaled,生産日_day_scaled,preheat_duration_scaled,preheat_duration_injection_duration_ratio_scaled,preheat_duration_curing_duration_ratio_scaled
351.0,1089,1191,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.030612244897959183,1.0,-0.5,0.0,0.0,0.0
336.0,1130,1210,46114.0,46114.0,12.9999999,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,0.2799999999999997,0.3877551020408163,1.0,-0.5,0.0,0.0,0.0
356.8,1083,1186,46114.0,46114.0,14.00000013,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,0.6,-0.09183673469387756,1.0,-0.5,0.0,0.0,0.0
351.0,1083,1186,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.09183673469387756,1.0,-0.5,0.0,0.0,0.0
351.0,1083,1186,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,-0.09183673469387756,1.0,-0.5,0.0,0.0,0.0
360.0,1088,1193,46114.0,46114.0,11.00000006,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,-0.9600000000000002,-0.04081632653061224,1.0,-0.5,0.0,0.0,0.0
356.8,1088,1193,46114.0,46114.0,14.00000013,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,0.6,-0.04081632653061224,1.0,-0.5,0.0,0.0,0.0
351.0,1088,1193,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.04081632653061224,1.0,-0.5,0.0,0.0,0.0
351.0,1088,1193,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.04081632653061224,1.0,-0.5,0.0,0.0,0.0
360.0,1084,1195,46114.0,46114.0,9.999999823,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,-0.08163265306122448,1.0,-0.5,0.0,0.0,0.0
356.8,1084,1195,46114.0,46114.0,14.00000013,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,0.6,-0.08163265306122448,1.0,-0.5,0.0,0.0,0.0
351.0,1084,1195,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.08163265306122448,1.0,-0.5,0.0,0.0,0.0
360.0,1087,1188,46114.0,46114.0,11.00000006,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,-0.05102040816326531,1.0,-0.5,0.0,0.0,0.0
366.8,1130,1210,46114.0,46114.0,9.999999823,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,0.3877551020408163,1.0,-0.5,0.0,0.0,0.0
351.0,1133,1195,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,0.41836734693877553,1.0,-0.5,0.0,0.0,0.0
351.0,1124,1201,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,0.32653061224489793,1.0,-0.5,0.0,0.0,0.0
317.0,1134,1214,46114.0,46114.0,10.99999943,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,4.500000000000002,1.0,-0.12000000000000029,0.42857142857142855,1.0,-0.5,0.0,0.0,0.0
351.0,1134,1214,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.42857142857142855,1.0,-0.5,0.0,0.0,0.0
351.0,1134,1214,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.42857142857142855,1.0,-0.5,0.0,0.0,0.0
276.0,1127,1223,46114.0,46114.0,12.9999999,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,5.000000000000003,1.0,-0.12000000000000029,0.35714285714285715,1.0,-0.5,0.0,0.0,0.0
320.0,1127,1223,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.9199999999999996,0.35714285714285715,1.0,-0.5,0.0,0.0,0.0
351.0,1127,1223,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.35714285714285715,1.0,-0.5,0.0,0.0,0.0
